street_name,date,total_vol_l3,total_weight_kg
albert place,2016-06-04,81.738404,5.721688
albert place,2016-06-07,96.732572,6.77128
albert place,2016-06-09,55.514408,3.886009
albert place,2016-06-12,87.403054,6.118214
albert place,2016-06-14,91.923469,6.434643
albert place,2016-06-17,89.323837,6.252669
albert place,2016-06-18,47.355508,3.314886
albert place,2016-06-20,67.393934,4.717575
albert place,2016-06-22,66.490686,4.654348
albert place,2016-06-24,99.297611,6.950833
albert place,2016-06-27,86.263283,6.03843
albert place,2016-06-29,74.026653,5.181866
albert place,2016-06-30,51.004255,3.570298
albert place,2016-07-03,172.47932500000002,12.073553
albert place,2016-07-06,99.098231,6.936876
albert place,2016-07-08,87.233706,6.106359
albert place,2016-07-12,99.440452,6.960832
albert place,2016-07-15,139.809694,9.786678
albert place,2016-07-25,98.297189,6.880803
albert place,2016-07-30,88.99757,6.22983
albert place,2016-08-02,94.986702,6.649069
albert place,2016-08-04,82.573386,5.780137
albert place,2016-08-06,98.521243,6.896487
albert place,2016-08-07,86.693999,6.06858
albert place,2016-08-09,92.917125,6.504199
antigua street,2016-06-03,127.152693,8.900689
antigua street,2016-06-05,169.604931,11.872345
antigua street,2016-06-06,44.910843,3.143759
antigua street,2016-06-11,188.491285,13.19439
antigua street,2016-06-12,136.967986,9.587759
antigua street,2016-06-13,78.59750500000001,5.501825999999999
antigua street,2016-06-17,96.211693,6.734818
antigua street,2016-06-18,49.536617,3.467563
antigua street,2016-06-19,68.24555,4.777188
antigua street,2016-06-20,90.387689,6.327138
antigua street,2016-06-21,79.576977,5.570388
antigua street,2016-06-22,67.457989,4.722059
antigua street,2016-06-23,177.986807,12.459077
antigua street,2016-06-25,99.770885,6.983962
antigua street,2016-06-27,264.914225,18.543996
antigua street,2016-06-29,171.82209799999998,12.027547
antigua street,2016-06-30,155.843132,10.909019
antigua street,2016-07-03,199.145792,13.940204999999999
antigua street,2016-07-04,99.148709,6.94041
antigua street,2016-07-05,172.510483,12.075734
antigua street,2016-07-07,130.802988,9.156209
antigua street,2016-07-09,163.95686,11.476980000000001
antigua street,2016-07-10,98.789618,6.915273
antigua street,2016-07-11,94.20312999999999,6.594219
antigua street,2016-07-14,145.699941,10.198996000000001
antigua street,2016-07-15,88.74086,6.21186
antigua street,2016-07-16,171.394868,11.99764
antigua street,2016-07-17,80.934856,5.66544
antigua street,2016-07-18,60.919765,4.264384
antigua street,2016-07-19,102.52761699999999,7.176933
antigua street,2016-07-21,164.46813400000002,11.512769
antigua street,2016-07-22,96.94569,6.786198000000001
antigua street,2016-07-23,104.65651299999999,7.325956
antigua street,2016-07-24,120.332843,8.423299
antigua street,2016-07-25,86.660015,6.066201
antigua street,2016-07-26,175.876617,12.311363
antigua street,2016-07-27,62.560753,4.379253
antigua street,2016-07-28,122.99968100000001,8.609978
antigua street,2016-07-30,186.164623,13.031524000000001
antigua street,2016-07-31,153.81321200000002,10.766925
antigua street,2016-08-01,94.352479,6.604674
antigua street,2016-08-02,134.886727,9.442071
antigua street,2016-08-03,63.59595,4.451717
