street_name,date,total_vol_l3,total_weight_kg,cum_total_vol_l3,cum_total_weight_kg
albert place,2016-06-03,0,0,0,0
albert place,2016-06-04,81.738404,5.721688,81.738404,5.721688
albert place,2016-06-05,0,0,81.738404,5.721688
albert place,2016-06-06,0,0,81.738404,5.721688
albert place,2016-06-07,96.732572,6.77128,178.470976,12.492968000000001
albert place,2016-06-08,0,0,178.470976,12.492968000000001
albert place,2016-06-09,55.514408,3.886009,233.985384,16.378977
albert place,2016-06-10,0,0,233.985384,16.378977
albert place,2016-06-11,0,0,233.985384,16.378977
albert place,2016-06-12,87.403054,6.118214,321.388438,22.497191
albert place,2016-06-13,0,0,321.388438,22.497191
albert place,2016-06-14,91.923469,6.434643,413.311907,28.931834000000002
albert place,2016-06-15,0,0,413.311907,28.931834000000002
albert place,2016-06-16,0,0,413.311907,28.931834000000002
albert place,2016-06-17,89.323837,6.252669,502.635744,35.184503
albert place,2016-06-18,47.355508,3.314886,549.991252,38.499389
albert place,2016-06-19,0,0,549.991252,38.499389
albert place,2016-06-20,67.393934,4.717575,617.385186,43.216964000000004
albert place,2016-06-21,0,0,617.385186,43.216964000000004
albert place,2016-06-22,66.490686,4.654348,683.875872,47.871312
albert place,2016-06-23,0,0,683.875872,47.871312
albert place,2016-06-24,99.297611,6.950833,783.173483,54.822145
albert place,2016-06-25,0,0,783.173483,54.822145
albert place,2016-06-26,0,0,783.173483,54.822145
albert place,2016-06-27,86.263283,6.03843,869.436766,60.860575
albert place,2016-06-28,0,0,869.436766,60.860575
albert place,2016-06-29,74.026653,5.181866,943.463419,66.042441
albert place,2016-06-30,51.004255,3.570298,994.467674,69.612739
albert place,2016-07-01,0,0,994.467674,69.612739
albert place,2016-07-02,0,0,994.467674,69.612739
albert place,2016-07-03,172.47932500000002,12.073553,1166.946999,81.68629200000001
albert place,2016-07-04,0,0,1166.946999,81.68629200000001
albert place,2016-07-05,0,0,1166.946999,81.68629200000001
albert place,2016-07-06,99.098231,6.936876,1266.04523,88.623168
albert place,2016-07-07,0,0,1266.04523,88.623168
albert place,2016-07-08,87.233706,6.106359,1353.278936,94.729527
albert place,2016-07-09,0,0,1353.278936,94.729527
albert place,2016-07-10,0,0,1353.278936,94.729527
albert place,2016-07-11,0,0,1353.278936,94.729527
albert place,2016-07-12,99.440452,6.960832,1452.719388,101.690359
albert place,2016-07-13,0,0,1452.719388,101.690359
albert place,2016-07-14,0,0,1452.719388,101.690359
albert place,2016-07-15,139.809694,9.786678,1592.529082,111.477037
albert place,2016-07-16,0,0,1592.529082,111.477037
albert place,2016-07-17,0,0,1592.529082,111.477037
albert place,2016-07-18,0,0,1592.529082,111.477037
albert place,2016-07-19,0,0,1592.529082,111.477037
albert place,2016-07-20,0,0,1592.529082,111.477037
albert place,2016-07-21,0,0,1592.529082,111.477037
albert place,2016-07-22,0,0,1592.529082,111.477037
