street_name,date,total_vol,cum_total
albert place,2016-06-04,81.738404,81.738404
albert place,2016-06-07,96.732572,178.470976
albert place,2016-06-09,55.514408,233.985384
albert place,2016-06-12,87.403054,321.388438
albert place,2016-06-14,91.923469,413.311907
albert place,2016-06-17,89.323837,502.635744
albert place,2016-06-18,47.355508,549.991252
albert place,2016-06-20,67.393934,617.385186
albert place,2016-06-22,66.490686,683.875872
albert place,2016-06-24,99.297611,783.173483
albert place,2016-06-27,86.263283,869.436766
albert place,2016-06-29,74.026653,943.463419
albert place,2016-06-30,51.004255,994.467674
albert place,2016-07-03,172.47932500000002,1166.946999
albert place,2016-07-06,99.098231,1266.04523
albert place,2016-07-08,87.233706,1353.278936
albert place,2016-07-12,99.440452,1452.719388
albert place,2016-07-15,139.809694,1592.529082
albert place,2016-07-25,98.297189,1690.826271
albert place,2016-07-30,88.99757,1779.823841
albert place,2016-08-02,94.986702,1874.810543
albert place,2016-08-04,82.573386,1957.383929
albert place,2016-08-06,98.521243,2055.905172
albert place,2016-08-07,86.693999,2142.599171
albert place,2016-08-09,92.917125,2235.516296
antigua street,2016-06-03,127.152693,127.152693
antigua street,2016-06-05,169.604931,296.75762399999996
antigua street,2016-06-06,44.910843,341.66846699999996
antigua street,2016-06-11,188.491285,530.159752
antigua street,2016-06-12,136.967986,667.127738
antigua street,2016-06-13,78.59750500000001,745.725243
antigua street,2016-06-17,96.211693,841.9369360000001
antigua street,2016-06-18,49.536617,891.473553
antigua street,2016-06-19,68.24555,959.719103
antigua street,2016-06-20,90.387689,1050.106792
antigua street,2016-06-21,79.576977,1129.683769
antigua street,2016-06-22,67.457989,1197.141758
antigua street,2016-06-23,177.986807,1375.128565
antigua street,2016-06-25,99.770885,1474.89945
antigua street,2016-06-27,264.914225,1739.8136749999999
antigua street,2016-06-29,171.82209799999998,1911.635773
antigua street,2016-06-30,155.843132,2067.478905
antigua street,2016-07-03,199.145792,2266.6246969999997
antigua street,2016-07-04,99.148709,2365.773406
antigua street,2016-07-05,172.510483,2538.283889
antigua street,2016-07-07,130.802988,2669.0868769999997
antigua street,2016-07-09,163.95686,2833.043737
antigua street,2016-07-10,98.789618,2931.8333549999998
antigua street,2016-07-11,94.20312999999999,3026.036485
antigua street,2016-07-14,145.699941,3171.736426
antigua street,2016-07-15,88.74086,3260.477286
antigua street,2016-07-16,171.394868,3431.872154
antigua street,2016-07-17,80.934856,3512.80701
antigua street,2016-07-18,60.919765,3573.726775
antigua street,2016-07-19,102.52761699999999,3676.254392
antigua street,2016-07-21,164.46813400000002,3840.722526
antigua street,2016-07-22,96.94569,3937.668216
antigua street,2016-07-23,104.65651299999999,4042.324729
antigua street,2016-07-24,120.332843,4162.657572
